
CCTV10SD,rtp://239.94.2.155:5140
CCTV11SD,rtp://239.94.2.156:5140
CCTV12SD,rtp://239.94.2.157:5140
CCTV13SD,rtp://239.94.2.158:5140
CCTV14SD,rtp://239.94.2.159:5140
CCTV15SD,rtp://239.94.2.160:5140
CCTV17SD,rtp://239.94.2.161:5140
CCTV4KSD,rtp://239.94.2.163:5140
CETV1SD,rtp://239.94.2.224:5140
CETV2SD,rtp://239.94.1.19:5140
CETV2SD,rtp://239.94.2.228:5140
CETV4SD,rtp://239.94.2.229:5140
CGTNSD,rtp://239.94.2.164:5140
CGTN西语SD,rtp://239.94.2.237:5140
CGTN法语SD,rtp://239.94.2.238:5140
梨园频道SD,rtp://239.94.2.227:5140
游戏风云SD,rtp://239.94.2.235:5140
书法频道SD,rtp://239.94.1.163:5140
金鹰纪实SD,rtp://239.94.2.223:5140
生活时尚SD,rtp://239.94.1.40:5140
生活时尚SD,rtp://239.94.2.233:5140
中国交通SD,rtp://239.94.2.193:5140
重庆卫视SD,rtp://239.94.2.188:5140
江苏卫视SD,rtp://239.94.2.168:5140
浙江卫视SD,rtp://239.94.2.169:5140
东方卫视SD,rtp://239.94.2.170:5140
深圳卫视SD,rtp://239.94.2.172:5140
北京卫视SD,rtp://239.94.2.171:5140
山东卫视SD,rtp://239.94.2.175:5140
天津卫视SD,rtp://239.94.2.174:5140
贵州卫视SD,rtp://239.94.2.189:5140
四川卫视SD,rtp://239.94.2.165:5140
云南卫视SD,rtp://239.94.2.196:5140
广西卫视SD,rtp://239.94.2.195:5140
黑龙江卫视SD,rtp://239.94.2.187:5140
安徽卫视SD,rtp://239.94.2.191:5140
山西卫视SD,rtp://239.94.0.93:5140
山西卫视SD,rtp://239.94.2.199:5140
江西卫视SD,rtp://239.94.2.185:5140
湖北卫视SD,rtp://239.94.2.190:5140
旅游卫视SD,rtp://239.94.0.100:5140
旅游卫视SD,rtp://239.94.2.206:5140
陕西卫视SD,rtp://239.94.2.198:5140
东南卫视SD,rtp://239.94.2.186:5140
厦门卫视SD,rtp://239.94.0.104:5140
厦门卫视SD,rtp://239.94.2.210:5140
吉林卫视SD,rtp://239.94.2.197:5140
辽宁卫视SD,rtp://239.94.2.207:5140
内蒙古卫视SD,rtp://239.94.0.94:5140
内蒙古卫视SD,rtp://239.94.2.200:5140
湖南卫视SD,rtp://239.94.2.167:5140
广东卫视SD,rtp://239.94.2.173:5140
河南卫视SD,rtp://239.94.2.194:5140
河北卫视SD,rtp://239.94.2.192:5140
甘肃卫视SD,rtp://239.94.2.205:5140
青海卫视SD,rtp://239.94.0.95:5140
青海卫视SD,rtp://239.94.2.201:5140
三沙卫视SD,rtp://239.94.0.105:5140
三沙卫视SD,rtp://239.94.2.211:5140
康巴卫视SD,rtp://239.94.2.184:5140
安多卫视SD,rtp://239.94.0.110:5140
安多卫视SD,rtp://239.94.2.216:5140
延边卫视SD,rtp://239.94.0.107:5140
延边卫视SD,rtp://239.94.2.213:5140
金鹰卡通SD,rtp://239.94.1.30:5140
金鹰卡通SD,rtp://239.94.2.231:5140
嘉佳卡通SD,rtp://239.94.1.10:5140
嘉佳卡通SD,rtp://239.94.2.226:5140
卡酷少儿SD,rtp://239.94.1.29:5140
卡酷少儿SD,rtp://239.94.2.230:5140
山东教育卫视SD,rtp://239.94.0.106:5140
山东教育卫视SD,rtp://239.94.2.212:5140
星空卫视SD,rtp://239.94.2.54:5140
星空卫视SD,rtp://239.94.2.53:5140
